10	17.2	14	90	60	14	4	M12	16	28	28	1.8	6	4	35
15	21.3	18	95	65	14	4	M12	16	32	32	2.0	6	4	38
20	26.9	25	105	75	14	4	M12	18	40	40	2.3	6	4	40
25	33.7	32	115	85	14	4	M12	18	46	46	2.6	6	4	40
32	42.4	38	140	100	18	4	M16	18	56	56	2.6	6	6	42
40	48.3	45	150	110	18	4	M16	18	64	64	2.6	7	6	45
50	60.3	57	165	125	18	4	M16	18	74	74	2.9	8	5	45
65	76.1	76	185	145	18	8	M16	18	92	92	2.9	10	6	45
80	88.9	89	200	160	18	8	M16	20	105	105	3.2	10	6	50
100	114.3	108	22	180	18	8	M16	20	131	131	3.6	12	8	52
125	139.7	133	250	210	18	8	M16	22	156	156	4.0	12	8	55
150	168.3	159	285	240	22	8	M20	22	184	184	4.5	12	10	55
200	219.1	219	340	295	22	12	M20	24	235	235	6.3	16	10	62
250	273	273	405	355	26	12	M24	26	292	292	6.3	16	12	70
300	323.9	325	460	410	26	12	M24	28	344	344	7.1	16	12	78
350	355.6	377	520	470	26	16	M24	30	390	410	8.0	16	12	82
400	406.4	426	580	525	30	16	M27	32	445	464	8.0	16	12	85
450	457	480	640	585	30	20	M27	40	490	512	8.0	16	12	87
500	508	530	715	650	33	20	M30	44	548	57	8.0	16	12	90
600	610	630	840	770	36	20	M33	54	652	670	8.8	18	12	95
700	711	720	910	840	36	24	M33	36	755	759	8.8	18	12	100
800	813	820	1025	950	39	24	M36¡Á3	38	855	855	10.0	20	12	105
900	914	920	1125	1050	39	28	M36¡Á3	40	955	954	10.0	20	12	110
1000	1016	1020	1255	1170	43	28	M39¡Á3	42	1058	1060	10.0	22	16	120
1200	1219	1220	1485	1390	48	32	M45¡Á3	48	1262	1260	12.5	30	16	130
1400	1422	1420	1685	1590	48	36	M45¡Á3	52	1465	1465	14.2	30	16	145
1600	1626	1620	1930	1820	55	40	M52¡Á4	58	1668	1668	16	35	16	160
1800	1829	1820	2130	2020	55	44	M52¡Á4	62	1870	1870	17.5	35	16	170
2000	2032	2020	2345	2230	60	48	M56¡Á4	66	2072	2072	20	40	16	180
