10	17.2	14	90	60	14	4	M12	16	18	15	30	30	4	22	4
15	21.3	18	95	65	14	4	M12	16	22.5	19	35	35	4	22	4
20	26.9	25	105	75	14	4	M12	18	27.5	26	45	45	4	26	4
25	33.7	32	115	85	14	4	M12	18	34.5	33	52	52	4	28	5
32	42.4	38	140	100	18	4	M16	18	43.5	39	60	60	6	30	5
40	48.3	45	150	110	18	4	M16	18	49.5	46	70	70	6	32	5
50	60.3	57	165	125	18	4	M16	18	61.5	59	84	84	5	28	5
65	76.1	76	185	145	18	8	M16	18	77.5	78	104	104	6	32	6
80	88.9	89	200	160	18	8	M16	20	90.5	91	118	118	6	34	6
100	114.3	108	220	180	18	8	M16	20	116	110	140	140	8	40	6
125	139.7	133	250	210	18	8	M16	22	143.5	135	168	168	8	44	6
150	168.3	159	285	240	22	8	M20	22	170.5	161	195	195	10	44	6
200	219.1	210	340	295	22	12	M20	24	221.5	222	246	246	10	44	8
250	273	273	405	355	26	12	M24	26	276.5	276	298	298	12	46	10
300	323.9	325	460	410	26	12	M24	28	328	328	350	350	12	46	11
350	355.6	377	520	470	26	16	M24	30	360	381	400	412	12	57	12
400	406.4	426	580	525	30	16	M27	32	411	430	456	475	12	63	12
450	457	480	640	585	30	20	M27	40	462	485	502	525	12	68	12
500	508	530	715	650	33	20	M30	44	513.5	535	559	581	12	73	12
600	610	630	840	770	36	20	M33	54	616.5	636	658	678	12	83	12
