10	17.2	14	100	70	14	4	M12	20	32	32	1.8	6	4	45
15	21.3	18	105	75	14	4	M12	20	34	34	2.0	6	4	45
20	26.9	25	130	90	18	4	M16	22	42	42	2.6	8	4	48
25	33.7	32	140	100	18	4	M16	24	52	52	2.6	8	4	58
32	42.4	38	155	110	22	4	M20	24	62	62	2.9	8	6	60
40	48.3	45	170	125	22	4	M20	26	70	70	2.9	10	6	62
50	60.3	57	195	145	26	4	M24	28	90	90	3.2	10	6	68
65	76.1	76	220	170	26	8	M24	30	108	108	3.6	12	6	76
80	88.9	89	230	180	26	8	M24	32	120	120	4.0	12	8	78
100	114.3	108	265	210	30	8	M27	36	150	150	5.0	12	8	90
125	139.7	133	315	250	33	8	M30	40	180	180	6.3	12	8	105
150	168.3	159	355	290	33	12	M30	44	210	210	7.1	12	10	115
200	219.1	219	430	360	36	12	M33	52	278	278	10.0	16	16	130
250	273	273	505	430	39	12	M36¡Á3	60	340	340	12.5	18	12	157
300	323.9	325	585	500	42	16	M39¡Á3	68	400	400	14.2	18	12	170
350	355.6	37	655	560	48	16	M45¡Á3	74	460	482	16.0	20	12	189
