10	0.5	0.5
15	0.5	0.5
20	0.5	0.5
25	0.5	1.0
32	1.0	1.0
40	1.5	1.5
50	1.5	1.5
65	2.0	2.0
80	3.0	3.5
100	3.5	4.0
125	4.5	6.0
150	5.0	7.5
200	7.0	12.5
250	9.0	18.5
300	12.0	25.5
350	17.0	32.0
400	20.0	38.5
450	24.5	51.0
500	26.5	60.1
600	35.0	103.0
700	52.0	178.5
800	65.0	252.0
900	75.5	335.5
1000	84.5	434.5
1200	101.5	724.5
1400	128.0	724.5
1600	171.0	996.0
1800	202.5	1305.5
2000	240.5	1699.5
